"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"안성기","장동건","송강호","전도연","송강호","이병헌","원빈","원빈","이병헌","송강호","최민식","유아인","황정민","송강호","마동석","송강호"
"장동건","이영애","이준기","송강호","손예진","장동건","장동건","박해일","송중기","하정우","송강호","송강호","송강호","마동석","하정우","마동석"
"설경구","전도연","김혜수","배용준","김혜수","설경구","강동원","장동건","김혜수","이병헌","류승룡","황정민","공유","이병헌","이병헌","공유"
"최민식","황정민","조승우","안성기","전도연","하지원","이병헌","김하늘","장동건","류승룡","하정우","전지현","하정우","황정민","송강호","조진웅"
"한석규","배용준","정준호","설경구","장동건","정지훈","송강호","공유","하정우","설경구","이병헌","하정우","유해진","하정우","주지훈","이병헌"
"송강호",NA,NA,NA,NA,NA,NA,NA,"전지현","이정재","강동원","최민식","이병헌","설경구","유해진","하정우"
"신성일",NA,NA,NA,NA,NA,NA,NA,"김윤석","김혜수","설경구","오달수","이정재","공유","정우성","정우성"
"박중후",NA,NA,NA,NA,NA,NA,NA,"박보영","김수현","정우성","이정재","정우성","송중기","황정민","유해진"
"정우성",NA,NA,NA,NA,NA,NA,NA,"안성기","장동건","현빈","강동원","전지현","정우성","조인성","황정민"
"원빈",NA,NA,NA,NA,NA,NA,NA,"조민수","전지현","김수현","유해진","마동석","유해진","차태현","이하늬"
