"cluster","누적관객수","스크린점유율","배급사점수","장르_관객점수부여","감독_배우시너지","감독점수","배우점수","배우점수2","배우점수3","배우점수4","배우점수5"
1,4039891,23.7975951903808,2,10,3,3,4,4,2,0,0
1,3678156,48.2624228645664,2,10,8,2,8.25,8.25,4.06201920231798,8.25,4.06201920231798
1,3117859,36.9047619047619,1,10,0,2.33333333333333,4,8.25,4.06201920231798,8.25,4.06201920231798
1,4313101,35.2794411177645,3,10,3,3.57142857142857,6.77777777777778,8.25,4.50924975282289,8.25,4.50924975282289
1,3024666,21.6432865731463,3,10,0,3.5,7.66666666666667,8.25,5.15345635304334,8.25,5.15345635304334
1,4111237,28.4959154252763,2,20,6,3.5,6.5,8.25,5.15345635304334,8.25,5.15345635304334
1,3134421,18.1432038834951,1,10,1,3.57142857142857,6.77777777777778,8.25,5.15345635304334,8.25,5.15345635304334
1,3755233,40.1770514130065,3,10,5,1.5,11.75,11.75,5.15345635304334,11.75,5.15345635304334
1,3587182,34.0194174757282,1,10,7,4,4,11.75,5.15345635304334,11.75,5.15345635304334
1,3420172,32.5502213142663,3,10,4,4,11.375,11.75,5.67215642802523,11.75,5.67215642802523
1,4018341,47.5054229934924,3,10,7,2,8,11.75,5.67215642802523,11.75,5.67215642802523
1,3450305,28.277071459886,3,20,6,4.16666666666667,6.7,11.75,5.67215642802523,11.75,5.67215642802523
1,3849129,44.4323933477947,3,20,6,5.25,11.375,11.75,5.67215642802523,11.75,5.67215642802523
1,4058225,26.1412782316194,3,10,7,5.4,10.7692307692308,11.75,6.23129310302172,11.75,6.23129310302172
1,3389125,46.4761286131861,3,10,4,2,11.2,11.75,6.23129310302172,11.75,6.23129310302172
1,3189091,38.0320054477358,1,10,0,2.6,10,11.75,6.23129310302172,11.75,6.23129310302172
1,4196840,14.4417475728155,3,10,2,2.75,6.2,11.75,6.23129310302172,11.75,6.23129310302172
1,3897969,27.6098901098901,3,10,8,4,14.5,14.5,6.23129310302172,11.75,6.23129310302172
1,3459864,25.4685247477174,2,10,4,5,14.5,14.5,6.23129310302172,11.75,6.23129310302172
1,3044859,38.2013201320132,2,10,0,5.66666666666667,6.25,14.5,6.23129310302172,11.75,6.23129310302172
1,3436012,35.9432234432234,3,20,6,4,6.77777777777778,14.5,6.23129310302172,11.75,6.23129310302172
1,3728429,29.1916167664671,3,20,7,4,4,14.5,6.23129310302172,11.75,6.23129310302172
1,3566852,34.809294169224,3,10,8,3,7,14.5,6.23129310302172,11.75,6.23129310302172
1,3749034,26.5469061876248,3,10,7,2.5,7.33333333333333,14.5,6.23129310302172,11.75,6.23129310302172
1,4288530,45.4757281553398,3,10,7,3.25,12.6666666666667,14.5,7.00412657309679,12.6666666666667,7.00412657309679
1,3283470,41.2147505422993,2,10,8,2.33333333333333,6.25,14.5,7.00412657309679,12.6666666666667,7.00412657309679
1,3364712,42.4488470282559,1,10,5,1.5,9.66666666666667,14.5,7.00412657309679,12.6666666666667,7.00412657309679
1,3789553,40.0749063670412,3,10,4,1.85714285714286,12.8,14.5,7.00412657309679,12.8,7.00412657309679
1,3849552,46.2078035949145,2,20,8,5,8.2,14.5,7.00412657309679,12.8,7.00412657309679
1,3009356,27.5582573454914,3,10,0,3.5,7.8,14.5,7.00412657309679,12.8,7.00412657309679
1,4131338,36.9505494505495,3,20,9,2.16666666666667,8.25,14.5,7.00412657309679,12.8,7.00412657309679
1,4018872,20.8582834331337,1,10,7,2.25,4,14.5,7.00412657309679,12.8,7.00412657309679
1,3350303,36.944583125312,3,10,6,3.57142857142857,10.8461538461538,14.5,7.00412657309679,12.8,7.00412657309679
1,3872015,34.0346534653465,3,20,4,3.5,15.6363636363636,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3119682,23.4223300970874,3,10,0,3.25,9.6,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3125069,26.0385005065856,3,10,1,3,4,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,4015361,39.0179745725559,2,10,8,7.25,11,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3152895,38.7129724208376,3,10,0,1.33333333333333,9.2,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3471150,29.1868932038835,3,10,4,2.71428571428571,12.125,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3330326,37.044433349975,2,10,6,4.25,4,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3018154,19.1712431352971,3,10,0,6,7.75,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3331593,25.6914893617021,3,10,4,3.57142857142857,5.8,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
1,3019780,23.5646530204693,2,10,0,2.5,13.5,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,4529876,21.2985436893204,3,10,4,2.83333333333333,5,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
2,5508017,43.452380952381,2,10,14,3.5,9,15.6363636363636,7.20138537139732,15.6363636363636,7.20138537139732
