"영화명","누적관객수","매출액점유율","누적매출액","스크린수","매출액","관객수","상영횟수","개봉일","제작사","배급사","등급","장르","감독","배우"
"내사랑 싸가지",296125,0.3,1836153500,22,1836153500,296125,2967,"2004-01-16","제이웰엔터테인먼트(주)","(주)시네마서비스","12세관람가","코미디","신동엽","김재원"
"말죽거리 잔혹사",604969,0.6,3837152000,40,3837152000,604969,5513,"2004-01-16","(주)싸이더스","CJ ENM","15세관람가","액션","유하","권상우"
"빙우",55656,0.1,363240500,18,363240500,55656,1015,"2004-01-16","쿠앤필름(주)","(주)쇼박스","12세관람가","드라마","김은숙","김하늘"
"그녀를 모르면 간첩",30435,0,187798000,22,187798000,30435,822,"2004-01-30","(주)엠쓰리엔터테인먼트","(주)쇼박스","15세관람가","코미디","박한준","공유"
"안녕! 유에프오",40361,0,250534000,17,250534000,40361,864,"2004-01-30","우리영화(주)","(주)튜브엔터테인먼트","전체관람가","드라마","김진민","김응수"
"태극기 휘날리며",2544986,2.3,15687429500,115,15687429500,2544986,22376,"2004-02-05","강제규필름","(주)다자인소프트","15세관람가","전쟁","강제규","장동건"
"마법경찰 갈갈이와 옥동자",3074,0,18446500,13,18446500,3074,252,"2004-02-13","(주)토토엔터테인먼트","콜럼비아트라이스타㈜","전체관람가","코미디","이한열","박준형"
"그녀를 믿지 마세요",298221,0.3,1859615500,25,1859615500,298221,4664,"2004-02-20","㈜영화사시선","(주)시네마서비스","12세관람가","코미디","배형준","강동원"
"목포는 항구다",425725,0.4,2673832500,25,2673832500,425725,6239,"2004-02-20","기획시대(주)","코리아픽쳐스(주)","15세관람가","드라마","김지훈","김윤태"
"어깨동무",119884,0.1,753985500,26,753985500,119884,3015,"2004-03-12","(주)씨케이픽쳐스","CJ ENM","15세관람가","코미디","조진규","김아중"
"어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장",181510,0.2,1158210500,28,1158210500,181510,3570,"2004-03-12","㈜제니스엔터테인먼트","(주)시네마서비스","12세관람가","코미디","강석범","김주혁"
"고독이 몸부림칠 때",10745,0,68938500,20,68938500,10745,826,"2004-03-19","(주)마술피리","(주)쇼박스","15세관람가","코미디","이수인","주현"
"맹부삼천지교",229240,0.2,1424995500,56,1424995500,229240,5254,"2004-03-26","코리아 엔터테인먼트","CJ ENM","15세관람가","코미디","김지영","손창민"
"마지막 늑대",47731,0,303851500,26,303851500,47731,1646,"2004-04-01","제네시스픽쳐스(주)","(주)쇼박스","15세관람가","코미디","구자홍","황정민"
"어린 신부",991674,0.9,6240174500,70,6240174500,991674,12895,"2004-04-02","(주)컬처캡미디어","코리아픽쳐스(주)","12세관람가","코미디","김호준","김래원"
"바람의 전설",97925,0.1,636285500,42,636285500,97925,2889,"2004-04-09","필름매니아(주)","(주)시네마서비스","15세관람가","드라마","박정우","이성재"
"범죄의 재구성",943241,0.9,6138742500,73,6138276800,943174,11504,"2004-04-15","(주)싸이더스","(주)쇼박스","18세관람가","스릴러","최동훈","김윤석"
"라이어",108156,0.1,706033000,51,706033000,108156,3092,"2004-04-23","씨앤필름(주)","CJ ENM","18세관람가","코미디","김경형","주진모"
"아라한 장풍대작전",810406,0.8,5207905000,82,5207905000,810406,12593,"2004-04-30","(주)싸이더스","(주)시네마서비스","12세관람가","액션","류승완","류승범"
"효자동 이발사",748380,0.7,4855872900,83,4855872900,748380,10745,"2004-05-05","영화사청어람(주)","(주)쇼박스","15세관람가","드라마","임찬상","문소리"
"클레멘타인",3562,0,22983000,9,22983000,3562,247,"2004-05-21","펄스타 픽쳐스","(주)엔터모드","15세관람가","액션","김두영","이동준"
"내 여자친구를 소개합니다",1298666,1.2,8329341500,185,8329341500,1298666,19289,"2004-06-03","(주)아이필름홀딩스","CJ ENM","15세관람가","멜로/로맨스","곽재용","전지현"
"페이스",238950,0.2,1534151500,69,1534151500,238950,5674,"2004-06-11","(주)태원엔터테인먼트","(주)시네마서비스","15세관람가","공포(호러)","유상곤","송윤아"
"령",558807,0.5,3554937000,74,3554937000,558807,8781,"2004-06-17","㈜팝콘필름","(주)쇼박스","12세관람가","공포(호러)","김태경","김하늘"
