"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사"
"0.0MHz",1088258860,137294,446,5998,2019-05-29,"(주)스마일이엔티","15세이상관람가","공포(호러)","유선동","정은지,이성열,최윤영,신주환,정원창,박명신,남관효,박대희,노혜영,서진석,김대현,신승민,오규택,오세규,오제헌,김성우,김수진,이정수,이상찬,허현준,이성훈,김정연,홍주영,김호영,김정현,김효은,조승구,조용현,김승희,김승희,김시아,황지원,조지영,조지영,강성민,강태웅,이경환,구원회,최현욱,김진옥,김난희,김하니,김선정,김성채,한소연,이채린,김진효,이병수,조임원,노희성,한정원,이혜미,조창순,조희원,주민준,나소이,남정희,함사랑,김원식,정낙안,유희찬,정설리,정승필,윤수빈,김채민,윤영식,신하림,이태준,김진아,최원,양시열,서우린,임창록,서한별,홍의현,한소영,황연희,한정윤,한태규,신지혜,박선영","(주)제이엠컬쳐스"
"10억",3107403000,433866,252,12744,2009-08-06,"(주)싸이더스","15세이상관람가","스릴러,어드벤처","조민호","박해일,신민아,박희순,고은아,정유미,이민기,이천희,성기완,박준하,안정희,강왕수,유정아,윤성재,최서우,최무성,신동미,정석용,김준배,김학선,김중기,김상호,연송하,이나라,박준하","(주)이든픽쳐스"
"1724 기방난동사건",1897970000,288452,340,19036,2008-12-03,"(주)싸이더스","15세이상관람가","사극,액션,코미디","여균동","이정재,김석훈,김옥빈,이원종,김수남,김현우,이광희,김효열,김은식,황혜영,한대희,김기종,김경록,한진,김대욱,우영제,김성룡,유지연,임경업,전성애,정재형,오진섭,여균동,김영근,김홍파,조덕현,장세진,조희봉,정종열,김기천,남정희","(주)싸이더스"
"1987",58169776145,7232387,1299,138226,2017-12-27,"(주)씨제이이엔엠","15세이상관람가","드라마","장준환","안대겸,김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환,박명신,김푸름,이화룡,이창훈,이신성,김수진,박경혜,김국희,황정민,한준우,정승길,현봉식,강신철,한성천,나철,김승훈,정인기,양조아,최교식,이장유,김경덕,최현종,정순원,이하영,유정호,곽진석,박혁민,염석무,이범규","(주)우정필름"
"1급기밀",1728645300,218795,512,11357,2018-01-24,"(주)리틀빅픽쳐스","12세이상관람가","드라마","홍기선","김상경,김옥빈,최무성,최귀화,김병철,최고,이지원,서현우,이상철,이승훈,이윤혁,신윤정,김태민,유영호,최보연,김민정,김성진,김우진,김민기,권태원,김성민","(주)미인픽쳐스,(주)미디어모굴"
"1번가의 기적",15494122100,2535450,340,54566,2007-02-14,"CJ ENM","15세이상관람가","드라마,코미디","윤제균","하지원,임창정,강예원,정두홍,박용주,신윤주,남동협,채백호,최광섭,김서경,곽진석,오수현,이규원,주현,이용녀,김희원,박영수,정민성,곽진석","(주)두사부필름"
"26년",21242367145,2963652,611,50679,2012-11-29,"(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤,김태준,김기천,이상훈,정희태,한사명,박서연","영화사청어람(주)"
"4교시 추리영역",459533500,67602,170,4904,2009-08-12,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","공포(호러),스릴러","이상용","김호연,유승호,고길주,강소라,송현,조예진,김민수,김대정,김태일,이샛별,최성겸,장희정,임수향,임은지,임장군,오미혜,김준혁,정석용,이영진,이찬호","스웨이엔터테인먼트"
"4요일: 자살을 부르는 요일",182990000,26962,132,3825,2008-12-11,"메가픽쳐스제이씨(주)","청소년관람불가","공포(호러),스릴러","서민영","정운택,임예원,단소영,한영훈,문승욱,윤서현,오지영,이재용","(주)재하엔터테인먼트"
"577 프로젝트",695770500,96080,191,5041,2012-08-30,"필라멘트픽쳐스","15세이상관람가","코미디,드라마","이근우","하정우,공효진,김성균,이승하,차현우,이지훈,최희서,강신철,한성천,이수인","(주)다세포클럽,(주)무브픽쳐스,(주)판타지오,(주)매니지먼트 숲"
"5백만불의 사나이",739789500,104736,331,6393,2012-07-19,"(주)씨제이이엔엠","15세이상관람가","코미디","김익로","박진영,조성하,민효린,조희봉,오정세,이병준,주광현,한유림,이원익,이유수,윤미영,김준배,한소율","(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손이앤에이"
"6년째 연애중",7422697000,1112238,326,27465,2008-02-05,"(주)스튜디오210","15세이상관람가","멜로/로맨스,드라마","박현진","김하늘,윤계상,차현정,신성록,김혜옥,허자연,김란,이상엽,안병래,김나연,정동규,김용완,김지애,이대연,옥지영,조용준,진용욱,서동원","(주)피카소필름"
"6월의 일기",3645962000,593867,169,15249,2005-12-01,"(주)쇼박스","15세관람가","드라마,범죄","임경수","신은경,이상기,김윤진,문정혁,김꽃비,맹세창,김경민,문준호,김지민,박현영,오정세,박혁민","(주)필름앤픽쳐스"
"7광구",19391653500,2242510,812,47346,2011-08-04,"(주)씨제이이엔엠","15세이상관람가","SF,액션,스릴러","김지훈","하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석,정인기","(주)제이케이필름,(주)씨제이이엔엠"
"7급 공무원",26380710000,4039891,475,90779,2009-04-22,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘,강지환,유승목,강규영,김민국,강신일,장남열,심은혜,나귀화,서정주,천성일,민홍남,이상욱,박병렬,정경민,이수지,임성현,김재훈,김철남,이가현,서민경,이정선,김은주,손호승,김형범,장영남,리우진,이창훈,김승훈,오연아,박지영","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스"
"7년의 밤",3969337524,528007,872,26804,2018-03-28,"(주)씨제이이엔엠","15세이상관람가","스릴러,드라마","추창민","류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희,서현우,이동훈,이동희,이상민,이상영,이성훈,김재철,이정현,김주하,이호준,김효인,박노찬,장승화,박정숙,박정주,최대룡,김현,김은경,김원진,김병석,민진웅,이정현,전배수,이란희,최광일,김비비,정인겸,엄지만,신현빈,지한아,최원,이동민,서병철,권유준","(주)바른손,(주)씨제이이엔엠"
"7번방의 선물",91431950670,12811213,866,166817,2013-01-23,"(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연,김봉수,정희태,이윤희,오창경,한이진","(주)화인웍스,(주)씨엘엔터테인먼트"
"7호실",2679844639,348017,629,21854,2017-11-15,"롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디","이용승","신하균,도경수,김동영,김종수,김종구,박수영,전석호,황정민,정희태,김도윤,정승길,박소영,조민성,윤세현,이광기,이재혁,김성종,우지현,박근록,최무성,김지영,이서환,박신아","(주)명필름"
"82년생 김지영",30298542310,3678156,1486,145441,2019-10-23,"롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","김도영","이시영,정유미,공유,김미경,공민정,박성연,이봉련,김성철,이얼,전국향,박세현,김미경,손성찬,강애심,김정영,예수정,염혜란,김해나,어성욱,권귀빈,류아영,김하연,강별,기소유,이나윤,유준후,김용준,이지혜,우지현,이성욱,김지수,윤서진,김미지,이재인,이주원,원춘규,김해나,정준,김금순,윤사봉,정형석,손규원,신태양,최희진,박수진,김국희,정선아,김선미,이음,이승용,조백한,오해주,오일영,우도임,구재연,정태성,허태경,권지숙,백효성,김철진,김규도,김영표,김성태,김지우,송윤,이해운,최수빈,김남진,김선혜,주인영,조예린,고재원,천문정,정선아,김정원,예수정,염혜란","(주)봄바람영화사"
"B형 남자친구",7324579000,1174581,167,20316,2005-02-03,"롯데쇼핑㈜롯데엔터테인먼트","12세관람가","코미디","최석원","이동건,한지혜,김꽃비,김정우,강기화,최석주,최성은,이진환,이현진,김준수,이용주,김해곤,박현영,신이","(주)시네마제니스"
"GP 506",6316842000,936945,355,35830,2008-04-03,"(주)쇼박스","청소년관람불가","공포(호러),미스터리,스릴러","공수창","천호진,조현재,이영훈,이도겸,이정헌,김병철,강남미,성진욱,허문호,안호연,이태금,신진우,박창용,김기현,전정식,차봉주,이산복,박대성,김성범,박상언,오정우,이주환,민성욱,조진웅,문영동,문영동,손병호,박준혁","(주)보코픽쳐스"
"I AM",245809000,33018,137,2685,2012-06-21,"(주)씨제이이엔엠","전체관람가","다큐멘터리","최진성","정윤호,심창민,서현,최수영","(주)씨제이이엔엠,(주)에스엠엔터테인먼트"
"Mr.로빈 꼬시기",3990360200,680241,301,20110,2006-12-07,"롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김상우","엄정화,다니엘 헤니,오미연,장소연,최진호,김기현,손진호,최종률,박현영,옥지영,이운산,원우,권유준","(주)싸이더스"
"Mr.아이돌",515508500,74261,311,8669,2011-11-03,"롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)","12세이상관람가","드라마","라희찬","우혜진,김수로,박예진,이재용,지현우,임원희,박재범,강다솔,김효은,김원영,박인규,김민상,정한진,박정진,최현미,박지호,이규희,방문정,한미선,조훈,한송희,채효정,채희송,천귀공,유영선,유재환,구민영,임대경,윤이슬,임사랑,임성현,최영희,최용준,오주환,정태민,장대운,김승룡,이용이,이원신,김주현,김지애,차종호,장영남,이철민,이한위,안서현,천성훈,이성우,원현준,장준유,박지연,이상훈,김영미,박윤호","데이지엔터테인먼트"
