"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","cluster","감독_배우"
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","김윤석","(주)우정필름",3,"유해진"
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","하정우","(주)우정필름",3,"유해진"
"7급 공무원",26380710000,4039891,475,90779,"2009-04-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스",1,""
"7급 공무원",26380710000,4039891,475,90779,"2009-04-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","강지환","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스",1,""
"82년생 김지영",30298542310,3678156,1486,145441,"2019-10-23","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","김도영","정유미","(주)봄바람영화사",1,""
"82년생 김지영",30298542310,3678156,1486,145441,"2019-10-23","롯데컬처웍스(주)롯데엔터테인먼트","12세이상관람가","드라마","김도영","공유","(주)봄바람영화사",1,""
"가문의 위기(가문의 영광2)",28622355500,4529876,351,61009,"2005-09-07","(주)쇼박스","15세관람가","코미디","정용기","신현준","(주)태원엔터테인먼트",2,""
"가문의 위기(가문의 영광2)",28622355500,4529876,351,61009,"2005-09-07","(주)쇼박스","15세관람가","코미디","정용기","김원희","(주)태원엔터테인먼트",2,""
"감기",21774884000,3117859,806,55046,"2013-08-14","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","장혁","아이러브시네마,(주)아이필름홀딩스,(주)씨제이이엔엠",1,"유해진"
"감기",21774884000,3117859,806,55046,"2013-08-14","아이러브시네마","15세이상관람가","드라마,어드벤처,액션","김성수","수애","아이러브시네마,(주)아이필름홀딩스,(주)씨제이이엔엠",1,"유해진"
"감시자들",39380162179,5508017,949,100309,"2013-07-03","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","설경구","영화사 집",2,""
"감시자들",39380162179,5508017,949,100309,"2013-07-03","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","범죄,액션","조의석,김병서","정우성","영화사 집",2,""
"강철비",35490346466,4452850,1426,80359,"2017-12-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","정우성","(주)와이웍스엔터테인먼트,(주)모팩",2,""
"강철비",35490346466,4452850,1426,80359,"2017-12-14","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","액션,드라마","양우석","곽도원","(주)와이웍스엔터테인먼트,(주)모팩",2,""
"강철중: 공공의 적 1-1",28638460100,4313101,707,74157,"2008-06-19","CJ ENM,(주)시네마서비스","15세이상관람가","드라마,액션","강우석","설경구","(주)시네마서비스글로벌,(주)시네마서비스",1,"유해진"
"강철중: 공공의 적 1-1",28638460100,4313101,707,74157,"2008-06-19","CJ ENM,(주)시네마서비스","15세이상관람가","드라마,액션","강우석","정재영","(주)시네마서비스글로벌,(주)시네마서비스",1,"유해진"
"거북이 달린다",20618276000,3024666,432,69946,"2009-06-11","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","김윤석","(주)씨네이천",1,"주진모"
"거북이 달린다",20618276000,3024666,432,69946,"2009-06-11","(주)쇼박스","15세이상관람가","드라마,액션,범죄","이연우","정경호","(주)씨네이천",1,"주진모"
