"영화명","누적매출액","누적관객수","스크린수","상영횟수","개봉일","배급사","등급","장르","감독","배우","제작사","개봉일스크린수","개봉일관객수","스크린수증가율"
"10억",3107403000,433866,252,12744,"2009-08-06","(주)싸이더스","15세이상관람가","스릴러,어드벤처","조민호","박해일,신민아,박희순,고은아,정유미,이민기,이천희,성기완,박준하,안정희,강왕수,유정아,윤성재,최서우,최무성,신동미,정석용,김준배,김학선,김중기,김상호,연송하,이나라,박준하","(주)이든픽쳐스",231,49701,9.09090909090909
"1987",58169776145,7232387,1299,138226,"2017-12-27","(주)씨제이이엔엠","15세이상관람가","드라마","장준환","안대겸,김윤석,하정우,유해진,김태리,박희순,이희준,설경구,여진구,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환,박명신,김푸름,이화룡,이창훈,이신성,김수진,박경혜,김국희,황정민,한준우,정승길,현봉식,강신철,한성천,나철,김승훈,정인기,양조아,최교식,이장유,김경덕,최현종,정순원,이하영,유정호,곽진석,박혁민,염석무,이범규","(주)우정필름",1299,331736,0
"1번가의 기적",15494122100,2535450,340,54566,"2007-02-14","CJ ENM","15세이상관람가","드라마,코미디","윤제균","하지원,임창정,강예원,정두홍,박용주,신윤주,남동협,채백호,최광섭,김서경,곽진석,오수현,이규원,주현,이용녀,김희원,박영수,정민성,곽진석","(주)두사부필름",302,77966,12.5827814569536
"26년",21242367145,2963652,611,50679,"2012-11-29","(주)인벤트스톤,영화사청어람(주)","15세이상관람가","액션,드라마","조근현","진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤,김태준,김기천,이상훈,정희태,한사명,박서연","영화사청어람(주)",442,113921,38.2352941176471
"6년째 연애중",7422697000,1112238,326,27465,"2008-02-05","(주)스튜디오210","15세이상관람가","멜로/로맨스,드라마","박현진","김하늘,윤계상,차현정,신성록,김혜옥,허자연,김란,이상엽,안병래,김나연,정동규,김용완,김지애,이대연,옥지영,조용준,진용욱,서동원","(주)피카소필름",289,91943,12.80276816609
"6월의 일기",3645962000,593867,169,15249,"2005-12-01","(주)쇼박스","15세관람가","드라마,범죄","임경수","신은경,이상기,김윤진,문정혁,김꽃비,맹세창,김경민,문준호,김지민,박현영,오정세,박혁민","(주)필름앤픽쳐스",150,34560,12.6666666666667
"7광구",19391653500,2242510,812,47346,"2011-08-04","(주)씨제이이엔엠","15세이상관람가","SF,액션,스릴러","김지훈","하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석,정인기","(주)제이케이필름,(주)씨제이이엔엠",733,201006,10.7776261937244
"7급 공무원",26380710000,4039891,475,90779,"2009-04-22","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,액션,드라마,범죄","신태라","김하늘,강지환,유승목,강규영,김민국,강신일,장남열,심은혜,나귀화,서정주,천성일,민홍남,이상욱,박병렬,정경민,이수지,임성현,김재훈,김철남,이가현,서민경,이정선,김은주,손호승,김형범,장영남,리우진,이창훈,김승훈,오연아,박지영","(주)하리마오픽쳐스,(주)영화사수작,(주)디씨지플러스",339,43513,40.117994100295
"7년의 밤",3969337524,528007,872,26804,"2018-03-28","(주)씨제이이엔엠","15세이상관람가","스릴러,드라마","추창민","류승룡,장동건,송새벽,고경표,이레,탕준상,이상희,문정희,서현우,이동훈,이동희,이상민,이상영,이성훈,김재철,이정현,김주하,이호준,김효인,박노찬,장승화,박정숙,박정주,최대룡,김현,김은경,김원진,김병석,민진웅,이정현,전배수,이란희,최광일,김비비,정인겸,엄지만,신현빈,지한아,최원,이동민,서병철,권유준","(주)바른손,(주)씨제이이엔엠",872,124688,0
"7번방의 선물",91431950670,12811213,866,166817,"2013-01-23","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디,드라마","이환경","류승룡,박신혜,갈소원,정진영,오달수,박원상,김정태,정만식,김기천,장호준,김동민,박수진,박유경,박정배,조덕현,박상면,조재윤,박길수,이승연,김봉수,정희태,이윤희,오창경,한이진","(주)화인웍스,(주)씨엘엔터테인먼트",605,152808,43.1404958677686
