"","cluster","감독_배우시너지","스크린점유율","감독점수","장르_관객점수부여","휴일","X12세이상관람가","X15세이상관람가","전체관람가","청소년관람불가","배우점수","누적관객수","배급사점수","평균스크린수","평스_증가율"
"1","1",3,23.7975951903808,3,10,9,TRUE,FALSE,FALSE,FALSE,4,4039891,2,407,140.117994100295
"2","1",8,48.2624228645664,2,10,8,TRUE,FALSE,FALSE,FALSE,8.25,3678156,2,1420,109.748892171344
"3","1",0,36.9047619047619,2.33333333333333,10,8,FALSE,TRUE,FALSE,FALSE,4,3117859,1,738.5,120.119225037258
"4","1",3,35.2794411177645,3.57142857142857,10,9,FALSE,TRUE,FALSE,FALSE,6.77777777777778,4313101,3,641,122.95652173913
"5","1",0,21.6432865731463,3.5,10,9,FALSE,TRUE,FALSE,FALSE,7.66666666666667,3024666,3,388,125.581395348837
"6","1",6,28.4959154252763,3.5,20,10,TRUE,FALSE,FALSE,FALSE,6.5,4111237,2,571,108.014571948998
"7","1",1,18.1432038834951,3.57142857142857,10,12,FALSE,TRUE,FALSE,FALSE,6.77777777777778,3134421,1,281.5,113.257575757576
"8","1",5,40.1770514130065,1.5,10,9,TRUE,FALSE,FALSE,FALSE,11.75,3755233,3,1180,100
"9","1",7,34.0194174757282,4,10,9,FALSE,TRUE,FALSE,FALSE,4,3587182,1,694.5,170.760233918129
"10","1",4,32.5502213142663,4,10,9,TRUE,FALSE,FALSE,FALSE,11.375,3420172,3,890.5,115.878787878788
"11","1",7,47.5054229934924,2,10,8,FALSE,TRUE,FALSE,FALSE,8,4018341,3,1254.5,109.958158995816
"12","1",6,28.277071459886,4.16666666666667,20,11,FALSE,TRUE,FALSE,FALSE,6.7,3450305,3,637,102.543720190779
"13","1",6,44.4323933477947,5.25,20,11,FALSE,TRUE,FALSE,FALSE,11.375,3849129,3,1177,109.244444444444
"14","1",7,26.1412782316194,5.4,10,10,TRUE,FALSE,FALSE,FALSE,10.7692307692308,4058225,3,473.5,134.987593052109
"15","1",4,46.4761286131861,2,10,8,FALSE,TRUE,FALSE,FALSE,11.2,3389125,3,1288.5,124.869109947644
"16","1",0,38.0320054477358,2.6,10,8,FALSE,TRUE,FALSE,FALSE,10,3189091,1,998.5,126.931818181818
"17","1",2,14.4417475728155,2.75,10,12,FALSE,FALSE,TRUE,FALSE,6.2,4196840,3,225,112.264150943396
"18","1",8,27.6098901098901,4,10,8,FALSE,TRUE,FALSE,FALSE,14.5,3897969,3,503.5,149.257425742574
"19","1",4,25.4685247477174,5,10,10,FALSE,TRUE,FALSE,FALSE,14.5,3459864,2,387.5,216.326530612245
"20","1",0,38.2013201320132,5.66666666666667,10,8,FALSE,TRUE,FALSE,FALSE,6.25,3044859,2,856,117.811704834606
"21","1",6,35.9432234432234,4,20,13,FALSE,TRUE,FALSE,FALSE,6.77777777777778,3436012,3,740,112.94964028777
"22","1",7,29.1916167664671,4,20,11,FALSE,TRUE,FALSE,FALSE,4,3728429,3,555,111.428571428571
"23","1",8,34.809294169224,3,10,9,FALSE,FALSE,FALSE,TRUE,7,3566852,3,729,119.578313253012
"24","1",7,26.5469061876248,2.5,10,11,FALSE,FALSE,FALSE,TRUE,7.33333333333333,3749034,3,501,113.191489361702
"25","1",7,45.4757281553398,3.25,10,9,FALSE,FALSE,FALSE,TRUE,12.6666666666667,4288530,3,1093.5,115.255905511811
"26","1",8,41.2147505422993,2.33333333333333,10,15,TRUE,FALSE,FALSE,FALSE,6.25,3283470,2,1072,113.545816733068
"27","1",5,42.4488470282559,1.5,10,9,FALSE,FALSE,FALSE,TRUE,9.66666666666667,3364712,1,1177.5,124.713740458015
"28","1",4,40.0749063670412,1.85714285714286,10,9,FALSE,TRUE,FALSE,FALSE,12.8,3789553,3,1067,122.988505747126
